,rating,title,Review_data
10,1.0,Dont Buy serious wifi issue with this note 11,"The media could not be loaded.
                



 wifi is not detecting and automatic wifi connection is also not working"
11,1.0,"Important features removed, battery and display is very good","Friends, there is no call recording features in mi, redmi and poco phones i think, i don't know others, i think one plus and samsung are build with call recording please confirm before buying, display, battery and speed is very very good at this price range, camera is poor, design is good, MIUI 13 out of the box is good, worst google dialer, contact and message is great great disadvantages"
12,4.0,Good for daily tasks,"Bought this phone since my old phone was giving me network related troubles and also the processor was not powerful enough to handle latest apps. This phone is excellent to do regular tasks like social media apps, browsing, youtube, online study etc. Processor is capable enough to handle normal tasks related to our day to day affairs.It has UFS 2.2 storage feature which makes app opening snappier. Initially I wanted to go with Moto G31 but this phone easily beats G31 in value for money department. My only concern with this phone was the ads/crapware in MiUi but surprisingly Xiaomi has manage to reduce it a lot and if you carefully disable the relevant options within the MiUi, you will not get any ads.Regarding Camera, it has average camera quality. Nothing impressive but this was expected in the price range and I'm ok with it cause I'm not a selfie shooter. I have my own DSLR which I use for any special kind of photography. Video is not that great. Its OK for one time viewing or for sharing on social media.Processor is OK. It can handle most regular daily tasks without any issues. Occasional hiccups are expected but they are understandable in terms of price-performance ratio. What surprised me is that my Mom's Redmi Note 5 has Snapdragon 625 processor which has 4K video recording but this one doesn't despite it being superior to 625 processor. It would be great if Xiaomi can enable at least 1080p/60fps in the next update.Phone has all the important sensors like gyroscope, compass etc. Many times in this prices range, gyro or compass sensor is absent which are important sensors. I use Google maps a lot for navigation so Compass comes handy to know my direction.Screen is excellent. Its on Par with 20-25K phone range. 90hz is smooth. Sunlight visibility in outdoor is great. My old phone had IPS panel which was excellent but sunlight visibility was very poor. This is just brilliant. Content watching is immersive. Also its not too big either like 6.7 inches phone which are cumbersome to carry in pants. This one is sleek looking.Battery is above average tbh. Xiaomi needs to do better optimization in this phone. Though it has 5000mah battery but optimization is poor which eats away battery even while doing normal tasks. It can survive the whole day but Xiaomi needs to think about it in the battery department. 33w fast charger is game changer. It charges phone fairly quickly. So, that balances out the optimization issue to a bit. Kudos to Xiaomi for providing ""real fast charger"" instead of supplying 15w charger and calling it ""Fast charger"".Water/Dust resistance is essential.It has Dedicated slot for SD card which is also a plus point which going for this phone. Other phones in this category have hybrid solutions or no expansion slot.Side Mounted physical fingerprint sensor works great. This is what I prefer instead of in-display optical finger print scanners.Carrier Aggregation is there. Dual 4G standby works great. I can use Vodafone 4G while JIO sim stays active. Call quality is great. Dual Speakers provide adequate loudness and speaker quality are excellent.Overall this phone serves my needs. You can weigh your requirements with pros/cons and decide it. There won't be a perfect phone in this price range but this one ticked all my requirements. Thank you Xiaomi. You sure know how to make affordable and value for money smartphones for Indian consumers."
13,5.0,Awesome Amoled & battery backup.Best for multimedia consumption.,I was using redmi note 5 and now upgraded to this phone.It's AMOLED display is awesome😍😍😍. Its the best thing in this phone.. And also good battery backup. 20-24 hrs with moderate use..Starburst white colour is superb😍😍😍. I loved it.Decent Rear camera U will love it.Front camera is ok better than redmi note 5 but not compare this with 20k or 30k phone cameras. Video quality is average.At this price it is good.Good performance. No lag issues. 90Hz refresh rate is nice. Finger print sensor is working fine.Bright Torch light. Light weight.. Easy to use in one hand.. Comfortable design. First  day I experience a delay in charging and I thought it doesn't have fast charging at all. And also there was huge heat issue during charging.Second day that problem is almost solved.. Heating problem reduced and charging also become faster.. And  4th day onwards normal heat issue only and charging become faster.Auto call recording is not there.
14,1.0,Redmi Note 11 review :: Camera Quality is not upto the Mark.,"Advantages::* UI Display looks good.Disadvantages::* Mainly camera/video quality is not satisfied. company informed 50MP.. but pixel clarity less than 16MP.. The reason is 50MP is not default in camera view.  everytime, we have to select 50MP option.. Also no zoom option for 50MP view.. Completely unworthy cameras compare to samsung/Realme(sony camera).* When Playing game also phone got hanged frequently...* Morning you charged in , end of the day is getting completely drained..* 2 speakers sounds are little lower than other phones..* Too many advertisements.. its keep on advertising on every navigations..so, its budget phones.. targetting all middle peoples with Ads. so MI company will get more beneficial from you,. AND YOU WILL NOT BE GETTING BENEFICIAL., YOU WILL BE SEEING SO MANY ADS LIKE YOUTUBE,.Before buying, Think twice.. if you need Good quality camera/video phones, just Blindly go for Other brands like Samsung/Realme & lQOO..If you don't bother camera quality, focusing on good display & surfing YouTube & browser, you can opt this.."
15,4.0,Decent phone but not for heavy gaming,"Though writing a review only using it for 4 days is too early, but there are few things need to be shared:Display: Excellent Display. Build quality is also good.Battery & Charging: Good battery life (24 to 36 hrs in moderate usage) & fast charging.Audio: Decent audio quality with dual speakersCamera: Good camera in daylight conditions, images are sharp & detailed... though under low light it's a bit grainy but still detailed (again other mobiles in this range also has similar problems, their softwares in order to lose the grains makes the picture soft)Video: Video is not upto the mark. It's very shaky. Must have some issues with the stabilizer.Gaming: Gaming with high graphics & for long hours is not recommended. Qualcomm Snapdragon 680 is not a heavy gaming processor(However I was playing SFA for 2-3 hours with low graphics quality & its performing fine)Heating: Till date no heating issues."
16,1.0,Worst Camera,Photos are similar as captured with old phone's VGA camera. Camera quality is pathetic. Don't buy. There is no return and refund option. Horrible experience
17,2.0,Below Average,Selfie is not good quality. Do not like the camera much. Auto pics taken are not good. Battery drains even if not in use.
18,1.0,Poor Camera,Camera is not up to the mark....There is noise in the pictures taken in night time...Don't go for it...i feel cheated...
19,3.0,Average phone with bad camera,Redmi phones quality is going down with each updated model. E.g. my Note 8 has much better camera quality than my new Note 11.Further the speakers at full volume may permanently damage them (again low quality).Perhaps this is going to be my last Redmi product as I will switch to a better quality brand after 3 years (once Redmi permanently makes my phone non operational through software upgrades as it happened in two previous phones 3S Prime and Note 7).
20,5.0,"Battery, light weight, Slim, handy, camera, speaker over all","The media could not be loaded.
                



 The phone is so attractive & slim Sreen resolution is 90Ghz which is quite good its has dual speaker with side finger print, light weight, camera is not so good if you want to buy this for photography this phone is not for you but the over all performance is so good at this price, money worthy."
21,5.0,Awesome,Hi after so confusion I have ordered the beast.... I was about to go for I qooo z5 or vivo t1 but those are not super amoled display.... This is very gud with decent specs.... Fast charging within 1 hour.... Decent camera... Performance then what else....... Happy with redmi note 11...
22,1.0,Very Disappointed,"Just don't buy it.I will update my review if any changes are observed in future.Comparing this to my 2 years old realme x2Pros - The only pro is dual speakersCons:-1. Build is inferior to realme x2.2. YouTube only supports 1080 while my earlier device supported 2160.3. Audio codec support on bluetooth ji device is SBC while my previous device supported AAC.4. Earpiece audio quality is not good too.5. Camera quality in front as well as back is not as good as my previous device.It felt like a downgrade from my previous device which had the same price and better processorI was hoping it to be having a good build like Redmi note 10 unfortunately it doesn't, currently very disappointed from Mi.There is not a option to return this product, only damaged products can be returned so I am stuck with it. Amazon should show a pop up regarding such important matters and should not hide it in some corner.Was a satisfied prime user until now but now I am questioning my choices."
23,2.0,"Having Performance issue, feels like using old phone","The media could not be loaded.
                



 Pro: Phone having 33w fast charger this is the best one only.Cons: Performance issue, app crash, no cache memory working everytime app restart when access from opened multiple apps.No call recording, fingerprint shutter missing.Very slow response.Not worthy to buy, you all can go for pro series.This is really very disappointed already used redmi not 3 and 8 previously so purchased this one.Already raised request to refund, waste of time money and effort."
24,4.0,"Good sound, display, Super fast charching","Phone was nice 👍 light weight one hand use size, loud speakers ,display super, fast charching"
25,2.0,Suffers from serious CPU throttling issues!~,"Performance gets sluggish after taking calls(normal call, whatsapp call) due to CPU throttling.I have even observed CPU frequency getting stuck at 690Mhz and never coming up (Enable Developer options -> Power monitor -> Monitor Frame rate)This is a SERIOUS bug and root cause of all performance issues being faced by multiple users of RedmiNote11. In fact I am reviewing my 2nd unit after exchanging 1st unit due to performance issues.Check the attached pic how Geekbench scores vary based on which time benchmark was taken.Before the call, all good scores above 380. Post taking calls, it become 170!"
26,5.0,Redme note 11,"Good product from Xiaomi with the latest features, value for money. Both camera quality is excellent."
27,1.0,Worst phone from Redmi and worst services from amazon,"The media could not be loaded.
                



 I purchased this phone from  Amazon and from 5th day onwards the screens goes blank, most of the times I make a call. The phone lags a lot when compared to another phones of same spec. On contacting customer services, they say I need to send phone back to seller via courier and post that they will refund the amount. Now, I have to wait for another 2-3 days without phone until another phone is delivered."
28,5.0,DECENT MOBILE,"The media could not be loaded.
                



 MY HONEST REVIEW :-LOOKING -> 10PERFORMANCE -> 9DISPLAY -> 8CAMERA -> 7 [ REAR ] - 6 [ SELFIE ]BATTERY -> 9CHARGING -> 10SOUND -> 10DON'T EXPECT TOO MUCH FOR THIS PRICE RANGE , IT'S MORE THAN ENOUGH AT THIS PRICE POINT - OVERALL BEST MOBILE WITH GOOD FEATURES"
29,1.0,Don't buy this buggy and pathetic phone. I am regretting,1. Even Redmi note 7 has 1000 time better camera optimization than this. 50MP yet images are pathetic and when you try to see images they takes time to load. Even my older phone with 20MP takes better details than this 50MP.2. Even my older phone with far less antutu score than this has better performance. This phone is not optimised. Shows lags and can't retair app memory as many times to switch to other app and when you come back it restarts that app even my older phone is better than this.3. Charging is good but battery backup is average.I will suggest you to go for realme as I am highly disappointed by buying this phone.
30,3.0,"horrible camera don't buy if camera is important, Privacy Issue  & many more Problems in UI","1. You can't enable an Always-on display for the whole time. It will be shown only after 10 sec you turn off the screen2. Notification Sound setting is not available I can't believe you can't turn off notification sound separately in 2022 this feature is available in 2015 smartphones it is combined with ringtone sound you have to silent your whole phone If You don't want notification sound definitely Then you are going to miss the calls then because vibration is not strong during ringing but in other cases typing taping vibration fell very strong3. Focus mode is a joke In this phone you will still get notification from focus mode itself if someone Texted you on WhatsApp or any other app send you a notification it will not show from which app it's coming but it's still annoying What the point of focus mode if I am getting notification from focus mode itself4. BIG PRIVACY ISSUE - there is an app called security app I don't know why smartphones need this kind of app in 2022 what's the point of a smartphone anyway this app takes your all permission all means all location, camera, call logs, file & storage everything but you can't disable it and can't uninstall it"
31,1.0,Defective piece is received,"I ordered the product on 25 Feb and it received me today, but when I open this and start the phone I found the screen is yellowish in color which fades a lot.And I have also post a photo which clearly seen the difference in the screen color.Very disappoint with this"
32,5.0,Must have,"I purchased it for my father. It's great, working smoothly and what else would we need. I mean it's a normal phone with better display and carrier aggregation. However, let's not set the expectations so high. If you are buying the phone for camera, you can go for high end Samsung, Apple or even OnePlus device that will cost you 40k + for a decent phone from those companies. But buying this phone and complaining that camera is not on par with DSLR is something hilarious. For my father, it's a great phone. Display is the primary highlight."
33,1.0,Worst phone ever,"Very bad camera,very bad phone"
34,2.0,"Camera,finger Sensor & Keypad very bad",उतना अच्छा नहीं जितना इसके बारे में बताया गया है !! इससे अच्छा redmi 5pro था। फिंगर प्रिंट सेंसर साइड में है जिसका बहुत अच्छा कार्य नहीं है। कैमरे की जूम क्वालिटी अच्छी नहीं है। वीडियो बनाने पर वीडियो अपने आप बहुत हिलता रहता है।
35,4.0,Very good phone for normal users.,"RN 11 is a good phone at 12499, the display is superb. Battery backup is very good thanks to 6nm processor. The speakers are clear and loud.The biggest letdown were cameras, the sensor produces average pics in daylight. It doesn't support 60fps , or EIS . Also the device doesn't feel snappy, it stutters while switching to apps .Conclusion - Good phone if you are content consumer , don't even consider this if camera & gaming are your 1st priorities."
36,4.0,Recieved damaged product.,"The media could not be loaded.
                



 Received this phone with scratch on screen. May be it is manufacturing defect. After raising replacement request they have assigned mobile inspection service and the the provider did not meet the appointment date and time. He is not even picking up my call.After replacement still there are lot of issues are there in this phone. Camera app is not working properly even quality is not good grains are coming after photo captured.It is waste of time again and again I have to call customer service. It is not pathetic."
37,1.0,Worst Phone ever. 😞,"Bought this phone at 16k and wasted my Money.1. Camera:Front camera is worst camera ever in any phone under even 10k  13MP Camera looks like 1.3MP VGA camera that comes in 1k Feature Chinese phones while video calls even if you use Fiber 100mbps or 1gbps connection.Back camera is 50MP but in Indoor it's like old 5MP in Only work good in Sunlight and outdoor good lighting conditions otherwise don't expect much it's badest 50MP camera.Max resolution for video recording is only 1080p 30fps ..... old Realme 6 can record 1080p 60fps 4k 30fps  and compare the price of both. This Redmi Note 11 Even doesn't support 1080p 60fps Only 30fps is max option in this why it have an new processor if old one is powerful. This phone is completely Downgrade on any phone you currently have right now. Even from 2017 ....2. Performance:  As per the specs on paper it mentioned SD 680 in it and it's poor processor and even MediaTek G85 works better than this shit.It take longer time to capture and preview picture in galley after we take a photo in camera. And phone even didn't support Some apps properly Like vidmate kinemaster and few other apps it just automatically close apps after sometime while using and kinemaster just open only 1st time 2nd it start crashing and that was not app issue it's phone issue itself.3. Software:  Only one thing i want to say is Now i figured out why it called a MeMe Ui ........Lags a lot. Hangs like 10 years old phone.4. Display: Yeah Good but 60hz looks like 30hz and 90hz looks like 60hz so No reason to spend Money for 90hz screen .....  Buy any other good phone with 60hz it will be lot better than this 90hz .....5. Battery:I haven't used phone much because of these issues so i wanted to Return and Get Refund buy amazon Rejected .....  Battery maybe a good in this phone but for how ""long""So, My opinion on this phone is if you get it under 10k than ok but if you you can use it  with those issues i have mentined above otherwise not worth to buy...""Say No To This Phone"" Don't waste Your Money on This Device it will not work properly. And can't satisfy and Normal User.For camera Users Don't buy it .... If you use camera in Low Light conditions than Don't waste your money on this phone better to buy Any other phone but not This.Do Not Buy this 👎"
38,1.0,"DISPLAY BLINKING PROBLEM,PHONE AND CHARGING GETS SLOWER AFTER UPDATE,LOT OF BUGS,","The media could not be loaded.
                



 I'm using this phone for about 1 month as my daily driver,i found the ⚠️DISPLAY BLINKING while using applications, i don't know if it was a hardware issue,The retrun policy has ended.there was screen flickering issues with AMOLED screens on the NOTE 10 SERIES,charging time increased from 1 hour to 1 and half hour after update,also phone gets slower,1080p 30 fps video gets stuttering,so many bugs,please ask note 11 user if they have any issues before buying the phone"
39,4.0,Not much better than note 10 last year.,It is an average performance device and at some part it performs below average.Pros:-Dual speakers.-90 hz Amoled display-50mp camera- miui 13 (android 11) out of the box.- 1gb more memory extension in 4gb ram device- quite light phone.- battery Is best.Cons :- Processor : it makes the phone perform similar to redmi cheaper ₹7000-₹9000 phones.- Display : Avg quality amoled display although the brightness is very good it does not feel as crisp as my note 10 pro also you can't play HDR videos on it and no 4k video support.- Audio : no Dolby Atmos support and those who use note 10 pro knows how much it affects the sound (i.e. takes it from avg to good quality loudspeaker experience)- Camera : it says 50mp and shots do come out quite good but that is during sufficient lighting only and image quality takes a huge toll in slightly poor lighting conditions.I bought it for my mother and for her the YouTube Facebook and Instagram work fine audio is sufficiently loud.Also remember to buy the insurance at least for screen damage as it is amoled display and could cost you high during repairs.
40,4.0,Best value for money product.,REVIEW AFTER 1 WEEK :Battery life - battery life and the fast charging is  Impressivescreen/ display- smooth (90hz) display.... Amoled screen is also very good 👍.... Dayligjt visibility is clearSpeaker - speakers are really nice and the audio quality is clear and loudCamera - camera department is very average nothing extraordinary... But i installed GCAM and the results are much better.... But the night camera seriously needs work its very dull...... Even the selfie camera is not as good.Perfomance - perfomance is decent ... But yes few time it does jittersFINAL VERDICT - as of feb 2022 this is the best phone at this price segment ( rs.13499 )The above pic is shot using this phone but via GCAM
41,4.0,Overall performer with some drawbacks,"The 6Gb Ram version is quick and works well on daily tasks, Ram management is good, the only flaws I saw is a boatload of junk per installed in the phone and Wi-Fi seems to be a bit weak as it keeps disconnecting frequently on moving around. But works well on 2.4 ghz. I Bought this for my mother and it works pretty well and 90hz screen refresh rate is also amazing,auto brightness although does not work really well specifically in dark mode the brightness becomes too low.Update: Wi-Fi issue Still Persists even after changing all the suggested option."
42,1.0,Fooled with camera,The camera is very bad. Its not an upgrade. It feels like camera is not even 10 MegaPixel. Such a poor camera. Cheaper phones have better camera.
43,1.0,bakwas phone hai bhol kar bhi na le ley,es phone main bohot kamiya hai......koi charging indicatar nahi hai...  call recording nahi hai....sbse bare kami watapp ke videos file maneger main nahi dekhtay....esey na le koi fayda nahi hai pata nahi mi walo nay kaya soch kar banaa hai....nam bare or darshan chotay....bakwas phone hai.....jeet Delhi ton
44,1.0,Very Bad Camera Quality Don't Buy It,Camera quality is very poor don't buy this phone.  The camera quality of the phone that comes in thousand rupees is very time wast and money waste.
45,2.0,Don't buy if you're looking for a good smartphone,"Not that great! Fingerprint sensor on the right side of the phone is the biggest disappointment out of all! Just a light touch will open it plus the location of the sensor is the most common place to touch. Secondly, the notifications are completely useless I can never pickup a call on time because it keeps on disappearing whenever I try to click, same goes for reminders and alarms. Also, the back of the phone gets easily scratched. If you're buying it on budget then it's okay but if you want a good smartphone with great technology this phone is not it!"
46,1.0,Camera quality is not as per 50MP.,Camera quality is not as per 50MP.
47,1.0,Don't buy this phone and any product from Amazon..,Don't buy this phone.. replacement and refund Options are not available.. product is too worst.. camera quality is not Good. Even amazon knows about this product that's why they don't want to get this product back from customer. This will be my last purchase with amazon.. Indians should not support this foreign company.. Earning from us.. incase of replacement they will ask us to read policy. Bye amazon..
48,4.0,MI has designed it the way it'd help business works get done smoothly,"The phone is good (I've 6+64 Black one). MI has increased the power efficiency, display quality, and camera from the older version keeping in mind the way it'd do wonders for business work although as expected the processor is on a downside.It'd have been awesome if a glass back was there and sd695 would've been fitted but 14.5k is a fair price for the released product no doubt but upgrading it from RN4 was a big loss for me personally.Issues:1. The left speaker (on the top) is producing a lower sound as compared to the right one (below). Balancing it in the setting would do the job but please update it in the next software upgrade.2. GPS location is not getting accurate. It's about 200m-1000m inaccurate. (Thinking about replacing it)."
49,4.0,Great value for money,"This is a good phone at 13k and better than Samsung phones under 20k.Camera is quite good. The uwa camera is 8 mp which is decent. Added photos of uwa,wa and 2x zoom. Clearly better than previous Samsung M21 I had. And does not kill the images by oversharpening like Samsung did.Pro mode allows full control. camera2api fully supported (level 3). Overall 5/5 for cam.Calling and network seems ok. SAR 0.85 which is better than many other phonesAudio 5/5 - has stereo speakers with some bass and quite loud, 3.5mm jack and sound through headphones is excellent.Battery lasts more than 2 days for me as I only do calls, use camera sometimes and listen to music. The 5000 mah battery somehow lasts longer than the 6000 one in Samsung.Comes with all sensors and fm radio.MIUI 13 - liking it so far. Coming from one ui 3.1 and stock Android before that, my opinion is that they were clean and simple but lack some useful features. MIUI is more customizable and useful.No heating or lagging issues so far but I dont play games, so cant comment on that.Overall complete package with 33w charger and back silicon case screen protector, unlike recent Samsung phones which removed charger and put a usb c to usb c cable so that some people are still forced to buy chargers.Also no 5G which is good for price reduction. By the time 5G gets available properly the prices will reduce."
50,1.0,Worst Audio in Bluetooth  and Buggy OS,"Dear All, I would say, stay away from this phone, asThis phone freezes in between and takes around 20-30 minutes to be normal,I was using Samsung F12 which really have weak processor and slow but never ever freezes.Top of this the bluetooth audio quality is worst, my bluetooths1- realme buds wireless 2 neo and2 - realme buds wireless proare useless now, though it gives good audio on my realme wired earbuds but very low sound on my bluetooth earbudsCamera quality is utterly DisappointingI am feeling cheated"
51,1.0,Most slow phone by redmi ever.......Don't Buy......,* I am writing review after 3 months of usage...* It's take almost more than 3 hours to charge from 0 to 100%.* It gets hanged and lagged during Instagram reels.* In dark mode the screen gets black lining from right side of screen in most of the the apps.* I also share the screenshot of the above problem in dark mode.* Battery 🔋 is okk but charging is too slow not charge even at 5 watt from 33 watt pro charger.* If anyone have same problem mentioned above with his or her phone please review to Amazon and mi so they fix this problem in upcoming update mostly the charging problem.
52,3.0,"Good Display, Average Phone","A moderately priced mid range phone with Amoled display which is probably it's USP.Performance is okay for light users, definitely not suitable for gamers or heavy users.Camera is poor, at par with phones under 10k.Android 11 from the box, haven't received update so far. Hoping to get atleast 2 major updates in the near future.Charging time more than an hour but that's acceptable for the price range and battery size.Will recommend this phone to users who like Amoled display and smooth operation, if camera and gaming/high performance is your priority than this phone is not the best in the range."
53,1.0,The most 3rd clasasentation etc only phone was there inside the box.,"I have not received charger, warranty card and this set is worst it has tremendous network issue. U cannot hear anything call drop type. Camera is also worst. Already demanded for replacement let's see. Friends pls don't buy this phone."
54,4.0,Compromise with love of MI,"As most of review..Pros. - Amoled Screen, 6 gb ram in less price.Battery backup & fast charge, Stereo speakers.Cons. - Camera Quality, processing,Overall okay purchase, you may buy it. 👍"
55,2.0,A product which gave issues rather than features,"The first week usage was quite normal and there was not a single hint of problems. But with time, I started to notice some bugs which I thought was caused by software issues and could be fixed through an minor update. As days passed the issues got bad such as Delayed call notification,disappearance of call logs,and worst of all sudden blinking of display (""On-Off issue"") that stays for 15-20 minutes whenever happens.Even the quality of the camera doesn't stand upto the mark as the videos I capture seems to contain lots of noise and grains. Also the Ram management and the refresh rate is not quite perfect, it looks like the features were just part of the overhyped marketing and was not actually put in the device as I use it in my everyday life. Therefore I am really disappointed with this device performance and totally irritated by the issues that keeps accelerating as time passes."
56,1.0,Loose Type-C port like used smartphone,"The media could not be loaded.
                



 Type - C Port is very loose and cable vertical moment kr rha hai"
57,3.0,Poor Camera Quality.,"Disappointed with Camera, is not as good as it should be. It is Not 5G phone. At this price redmi should give 5G. Not much happy with this. Redmi Note 8 Pro and Note 10 Pro is much better than redmi Note 11. Go with redmi Note 8 Pro Or 10 Pro."
58,1.0,Worst display or performance ever in my experience,"The media could not be loaded.
                



 I just bought this 1 month agoCheck the video which I recorded while watching anime,It's just 1080p quality print video but still too much glitch and hell quality colours....Don't know it's display problem of performanc is shity ..I verified the print in other devices and it's perfectUntil I reboot this hell device problem keeps goingVery disappointingGood pointsBattery life is very goodFunctionality are nice"
59,1.0,5 mega pixel camera quality from 50 mega pixel camera,Worst camera quality compared to any other phone in this price range. Have lot of scope to improve camera performance via update
60,4.0,Budget phone,"To be specific... A very good budget phone for regular use...Pros: 1. Good battery life.... 2. Fast charging... 3. Amoled display... 4. Though not top notch still a fast processor... 5. Miui13 looks refreshing... 6. Phone size is just perfect for handling with one hand.. 7. Stereo speakers at this price range...Cons. 1. No call recording, needs separate app for recording a call which eventually will be irritating coz many apps won't work properly...2. Pretty average camera3. Not much changes in the design in miui 13..4. As low priced, many file types aren't supported5. Average gameplay experience"
61,1.0,Worst ever mobile in my life don't buy it,"There are many obligations facing with my mobile after the use of 15days,Camera quality is worst first thing,doesn't charge at all,it's taking 8hrs to get charging,Now I'm trying to sell it off but no resale value they are asking for 10000.Worst processors,Its hanging up already, with a phone call and doesn't work as my activities, it works as it needs. Keypad is worst not working properly,  please don't buy MI or real me Xiaomi phones in life , I need a replacement but not able to do it, as it has been passed of a month. Really worst mobiles from these bad companies.I'm selling my phone now itself, There is no response from Redmi if i contacted them also , Please consider this , i lost 4000 in a 15days buy buying this worst mobile ever , I think i had a bad luck to get this type of defective piece ."
62,4.0,"For the budget ""OK""",I've been writing this after using for couple of weeksA decent mobile for this budget (6gb /64gb)Im an average user1. Battery - V. Good ( more than a day)2. Looks - Good3. Performance - Fair ( didn't felt much lag other than dialpad) (dialpad will take few seconds to come not that swift)4. Camera - Fair (50 mp - cant agree with that)5. Screen - Good (Amoled - liked)So in short - for this budget this mobile is good.
63,1.0,Total disappointment,A month's review. It is an upgrade from Redmi Note 7 pro 6GB ram.1. Lagging at many places2. Charging led missing3. Fingerprint awkwardly placed as it keeps opening if accidentally touched4. Imp: Many people complaining call voice quality not good even in Airtel. Voice breaking etc. Redmi note 7 pro was good no complaints.5. Shockproof Back covers  only available for pro version it means Resmi note 11 is failure model less people have purchasedNot recommended
64,1.0,Pathetic mobile and worst Amazon service,"First of all I would like to tell all the people here on Amazon that don't buy products from this website.They may give you great discounts on products but if you get the defective products then they do not bother to make your life like a hell.So adding to above, I got delivered the Redmi Note 11 mobile on 14th June and on the same day after checking, I came to know that mobile is having camera issue. I placed return order request but almost 4-5 times every amazon representative said that your mobile is not having any problem. Moreover they asked me to visit Mi service center to further escalate the issue. I did as asked but Mi center replied the same thing as Amazon person said earlier. Now Amazon is saying we cant do anything as Mi service center is denying to replace the mobile.So overall I would like to say that if you get defective mobile, then Amazon and Mi throw the ball to each others court and finally we as a customer burn our fingers. So don't choose this website or Mi products to ruin your happiness."
65,5.0,Very nice mobile as a expected! Thanks Redmi and Amazon,"Mobile is very beautiful as we see in photosgood camera, fast charger, amoled display, alexa experice free and also a good quality back cover free.Thanks redmi for such a nice mobiles as a always use redmi mobiles and also thanks to amazon and ecom for fast devilery."
